year,statefip,incwage,rentgrs,foodstmp,age,sex,marst,race,hispan,labforce,school
2004,new york,10000,0,no,50,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,florida,35000,0,no,24,male,never married/single,black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2004,florida,0,0,no,87,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,north dakota,300,0,no,17,male,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,alabama,500,470,no,22,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,indiana,0,0,no,61,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,iowa,30000,0,no,56,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,delaware,45000,0,no,39,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,oklahoma,0,0,no,17,male,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,west virginia,0,370,no,76,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,oregon,40500,0,no,28,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,arizona,69000,0,no,32,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,michigan,63000,0,no,53,female,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,ohio,0,0,no,39,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,999999,0,no,3,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,texas,13000,0,no,26,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,arizona,38500,0,no,66,female,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,ohio,999999,0,no,3,male,never married/single,white,not hispanic,n/a,"no, not in school"
2004,south carolina,166000,0,no,48,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,north dakota,134000,0,no,58,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,indiana,22000,0,no,28,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,north dakota,0,0,no,68,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,indiana,72000,0,no,46,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,montana,999999,0,no,14,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,ohio,3600,0,no,17,female,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,texas,23000,710,yes,30,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,florida,9800,690,yes,59,female,"married, spouse present",white,cuban,"yes, in the labor force","no, not in school"
2004,california,16800,0,no,47,female,"married, spouse present","other race, nec",mexican,"yes, in the labor force","no, not in school"
2004,minnesota,38000,0,no,41,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,maryland,0,0,no,16,female,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,oklahoma,42000,0,no,43,female,"married, spouse present",white,not hispanic,"yes, in the labor force","yes, in school"
2004,arizona,999999,0,no,3,male,never married/single,white,not hispanic,n/a,"yes, in school"
